仕舞い,シマイ
徒弟,トテイ
貴校,キコウ
蛇足,ダソク
群計数,グンケイスウ
ヒルガオ,ヒルガオ
職域,ショクイキ
シフトアウト,シフトアウト
張本,チョウホン
叮嚀,テイネイ
マウス,マウス
玄関子,ゲンカンシ
べに花,ベニバナ
作者,サクシャ
スイートホーム,スイートホーム
重石,オモシ
輪切り,ワギリ
永劫,エイゴウ
坐職,ザショク
すすめ,ススメ
エンディング,エンディング
金力,キンリョク
老兵,ロウヘイ
拇,オヤユビ
二人称,ニニンショウ
市立,シリツ
市立,イチリツ
免状,メンジョウ
魚形水雷,ギョケイスイライ
延し,ノシ
医療,イリョウ
煮染め,ニシメ
うんか,ウンカ
樒,シキミ
条件下,ジョウケンカ
張出し,ハリダシ
チャルメラ,チャルメラ
シマヘビ,シマヘビ
郵便箱,ユウビンバコ
待ち率,マチリツ
タイブレーク,タイブレーク
白血病,ハッケツビョウ
有意義,ユウイギ
シンポ,シンポ
公案,コウアン
原文,ゲンブン
粕取り,カストリ
聖恩,セイオン
しっこし,シッコシ
製造元,セイゾウモト
川縁,カワブチ
引船,ヒキフネ
描き直し,カキナオシ
めのと,メノト
アンペラ,アンペラ
簀の子,スノコ
口舐り,クチナメズリ
天壌無窮,テンジョウムキュウ
ゼニゴケ,ゼニゴケ
ながうた,ナガウタ
間断,カンダン
メンバー,メンバー
年増,トシマ
大聖,タイセイ
シッタン,シッタン
劣位,レツイ
白髯,ハクゼン
ミューズ,ミューズ
別荘,ベッソウ
眼,メ
眼,マナコ
胃壁,イヘキ
銃刀,ジュウトウ
幽魂,ユウコン
朴の木,ホウノキ
憮然,ブゼン
寺子屋,テラコヤ
ケヤキ,ケヤキ
無恥,ムチ
空き地,アキチ
ポエジー,ポエジー
姦雄,カンユウ
フラウ,フラウ
芥子,カラシ
芥子,ケシ
音源,オンゲン
飢え,ウエ
ゴール,ゴール
なか,ナカ
匹夫,ヒップ
連枝,レンシ
内また,ウチマタ
篆字,テンジ
貫主,カンシュ
成分,セイブン
仙台平,センダイヒラ
良能,リョウノウ
見送り,ミオクリ
小僧っ子,コゾッコ
鋭気,エイキ
湖上,コジョウ
ザクロ,ザクロ
黒船,クロフネ
実生活,ジッセイカツ
鯖,サバ
凍傷,トウショウ
割れもの,ワレモノ
さくらんぼ,サクランボ
しんこう,シンコウ
最長,サイチョウ
新湯,アラユ
歩み板,アユミイタ
鉦叩き,カネタタキ
コテージ,コテージ
報労,ホウロウ
うわべ,ウワベ
待ち,マチ
力車,リキシャ
刷本,スリホン
スピーカー,スピーカー
シタン,シタン
出自,シュツジ
バラツキ,バラツキ
オイスターソース,オイスターソース
未生,ミショウ
如く,ゴトク
荒馬,アラウマ
半輪,ハンリン
コタンジェント,コタンジェント
小男鹿,サヲシカ
敬虔,ケイケン
正貨,セイカ
食道楽,ショクドウラク
食道楽,クイドウラク
総懸り,ソウガカリ
警官,ケイカン
精銅,セイドウ
ひな型,ヒナガタ
立ち,タチ
塩田,エンデン
聖寿,セイジュ
フィボナッチ,フィボナッチ
お茶挽,オチャヒキ
チューリップ,チューリップ
ブロードキャスト,ブロードキャスト
一位,イチイ
雨粒,アマツブ
情合,ジョウアイ
支障,シショウ
感情,カンジョウ
行き止まり,ユキドマリ
行き止まり,イキドマリ
忠魂,チュウコン
名残折,ナゴリオリ
蚕種,サンシュ
蕪,カブラ
蕪,カブ
空洞,クウドウ
兄ちゃん,ニイチャン
ジグソー,ジグソー
電位,デンイ
ソーダ,ソーダ
声高,コワダカ
非負,ヒフ
骨ずい,コツヅイ
波瀾万丈,ハランバンジョウ
薮医者,ヤブイシャ
消息,ショウソク
数表示,スウヒョウジ
一個人,イッコジン
インコヒーレント,インコヒーレント
ゴーサイン,ゴーサイン
鴈,カリ
鴈,ガン
先師,センシ
夫唱婦随,フショウフズイ
糞度胸,クソドキョウ
不そん,フソン
隣,トナリ
暗流,アンリュウ
時流,ジリュウ
格技,カクギ
冷罨法,レイアンポウ
落鮎,オチアユ
法務,ホウム
宮仕え,ミヤヅカエ
親中,シンチュウ
くだり,クダリ
逆茂木,サカモギ
ハヤブサ,ハヤブサ
ビャクダン,ビャクダン
弊村,ヘイソン
胃ガン,イガン
動き,ウゴキ
爆竹,バクチク
伝記,デンキ
居続け,イツヅケ
金属,キンゾク
断篇,ダンペン
有終,ユウシュウ
ノントロッポ,ノントロッポ
句柄,クガラ
語,カタリ
語,ゴ
薙刀草履,ナギナタゾウリ
アセビ,アセビ
川施餓鬼,カワセガキ
風声,フウセイ
消息筋,ショウソクスジ
栗饅頭,クリマンジュウ
暗色,アンショク
雑則,ザッソク
浜防風,ハマボウフウ
永ごう,エイゴウ
時計,トケイ
四方八方,シホウハッポウ
鶫,ツグミ
ラウンジ,ラウンジ
タラノキ,タラノキ
カタブツ,カタブツ
振り,フリ
辞意,ジイ
なんまいだ,ナンマイダ
闇汁,ヤミジル
ヒト,ヒト
初年度,ショネンド
敵艦,テキカン
魚屋,サカナヤ
飛瀑,ヒバク
えん曲,エンキョク
薪,タキギ
薪,マキ
おべっか,オベッカ
癖,クセ
賞詞,ショウシ
分銅,フンドウ
官有,カンユウ
スカイウエイ,スカイウエイ
現当,ゲントウ
ナショナル,ナショナル
都道,トドウ
れつ,レツ
がさ,ガサ
残月,ザンゲツ
仮パラメタ,カリパラメタ
花形,ハナガタ
駒下駄,コマゲタ
糧食,リョウショク
生焼け,ナマヤケ
界わい,カイワイ
烽火,ホウカ
アレイプロセッサ,アレイプロセッサ
かき揚げ,カキアゲ
オリ,オリ
泥除け,ドロヨケ
実機,ジッキ
パン粉,パンコ
請合い,ウケアイ
恩人,オンジン
裏切り者,ウラギリモノ
兼題,ケンダイ
声域,セイイキ
一酉,イチノトリ
万引,マンビキ
粗,アラ
年越し,トシコシ
善智識,ゼンチシキ
借物,カリモノ
間縄,ケンナワ
ディレッタント,ディレッタント
読後感,ドクゴカン
不通,フツウ
涼雨,リョウウ
お次,オツギ
ブイヨン,ブイヨン
山立,ヤマダチ
方向づけ,ホウコウヅケ
突っぱり,ツッパリ
遅筆,チヒツ
さにづらふ,サニヅラフ
首級,シュキュウ
ＰＨ,ペーハー
要塞,ヨウサイ
ラーメン,ラーメン
貝の口,カイノクチ
生放送,ナマホウソウ
飄逸,ヒョウイツ
白下,シロシタ
七曜暦,シチヨウレキ
ポロニウム,ポロニウム
替り,カワリ
鱈子,タラコ
ハクトウ,ハクトウ
不貞,フテイ
病みあがり,ヤミアガリ
スナップショットダンプ,スナップショットダンプ
防潜網,ボウセンモウ
貸方,カシカタ
黄鉄鉱,オウテッコウ
渦中,カチュウ
身口意,シンクイ
狐格子,キツネゴウシ
私営,シエイ
切懸け,キリカケ
おじょうさん,オジョウサン
ぜいせい,ゼイセイ
連ね,ツラネ
ＣＩＭ,シム
コントラルト,コントラルト
スターター,スターター
本県,ホンケン
椎茸,シイタケ
都道府県コード,トドウフケンコード
四囲,シイ
弁才天,ベンザイテン
セキズイ,セキズイ
望蜀,ボウショク
鳥人,チョウジン
先賢,センケン
正銘,ショウメイ
わらしべ,ワラシベ
シェラック,シェラック
胸高,ムナダカ
ヤクザ,ヤクザ
第一義,ダイイチギ
烟管,エンカン
長丁場,ナガチョウバ
品玉,シナダマ
合言葉,アイコトバ
際,キワ
心情,シンジョウ
中等,チュウトウ
名弘め,ナビロメ
又従兄弟,マタイトコ
ナウ,ナウ
うばら,ウバラ
ベターハーフ,ベターハーフ
船端,フナバタ
鳩麦,ハトムギ
養老,ヨウロウ
食人種,ショクジンシュ
単向,タンコウ
モダニズム,モダニズム
術計,ジュッケイ
ドリーム,ドリーム
八端,ハッタン
カシワ,カシワ
抜染,ヌキゾメ
抜染,バッセン
片足,カタアシ
クズ米,クズゴメ
バンジージャンプ,バンジージャンプ
女振り,オンナブリ
素樸,ソボク
アンチック,アンチック
かわり,カワリ
中折,ナカオレ
御託宣,ゴタクセン
川中,カワナカ
本極り,ホンギマリ
油母頁岩,ユボケツガン
気色,キショク
気色,ケシキ
岩場,イワバ
沓,クツ
いちび,イチビ
新顔,シンガオ
許しまくり,ユルシマクリ
切り,キリ
農舎,ノウシャ
ササゲ,ササゲ
隣邦,リンポウ
カケイ,カケイ
親父,オヤジ
親父,シンプ
山冠,ヤマカンムリ
めん類,メンルイ
早老,ソウロウ
フォアハンド,フォアハンド
賊子,ゾクシ
護法,ゴホウ
被衣,カズキ
ひと肌,ヒトハダ
二八,ニッパチ
下女中,シモジョチュウ
けら,ケラ
筆勢,ヒッセイ
長屋,ナガヤ
宴,ウタゲ
なぞ,ナゾ
最前,サイゼン
側室,ソクシツ
世嗣,セイシ
木漏れ日,コモレビ
皇帝,コウテイ
子供騙し,コドモダマシ
白地図,ハクチズ
皇漢,コウカン
冷風,レイフウ
間欠,カンケツ
胴抜き,ドウヌキ
ご面相,ゴメンソウ
機首,キシュ
駆けだし,カケダシ
醜婦,シュウフ
女将,オカミ
研究所,ケンキュウジョ
研究所,ケンキュウショ
病態,ビョウタイ
海気,カイキ
枕刀,マクラガタナ
湯桶読み,ユトウヨミ
メシベ,メシベ
策,サク
含羞,ガンシュウ
伝声管,デンセイカン
焼夷弾,ショウイダン
化粧廻し,ケショウマワシ
労働三法,ロウドウサンポウ
目方,メカタ
おしろい,オシロイ
叢書,ソウショ
手錠,テジョウ
荷馬,ニウマ
シンナー,シンナー
宿替え,ヤドガエ
食酢,ショクズ
本省,ホンショウ
連山,レンザン
鳰,ニオ
中庸,チュウヨウ
交誼,コウギ
山査子,サンザシ
気節,キセツ
シネスコ,シネスコ
寄人,ヨリウド
データチェーン,データチェーン
哀楽,アイラク
足音,アシオト
靴擦れ,クツヅレ
隔意,カクイ
通り詞,トオリコトバ
カーミン,カーミン
持逃げ,モチニゲ
鈴蘭灯,スズラントウ
カナリヤ,カナリヤ
万難,バンナン
漢方,カンポウ
格,カク
宮内,クナイ
句,ク
勅題,チョクダイ
情話,ジョウワ
将棋倒し,ショウギダオシ
無慈悲,ムジヒ
堅甲,ケンコウ
朗報,ロウホウ
聖者,セイジャ
聖者,ショウジャ
不養生,フヨウジョウ
総菜,ソウザイ
閣僚,カクリョウ
短所,タンショ
血清,ケッセイ
季節はずれ,キセツハズレ
原核,ゲンカク
脇付,ワキヅケ
ハコベ,ハコベ
右,ミギ
プラトニックラブ,プラトニックラブ
しにせ,シニセ
シノブグサ,シノブグサ
衣鉢,イハツ
室内,シツナイ
両為,リョウダメ
のっぽ,ノッポ
アオムシ,アオムシ
末梢,マッショウ
騰勢,トウセイ
呼捨て,ヨビステ
年頃,トシゴロ
孫太郎虫,マゴタロウムシ
近目,チカメ
逆鱗,ゲキリン
ジャガタライモ,ジャガタライモ
即題,ソクダイ
公用,コウヨウ
英数字データ,エイスウジデータ
突出し,ツキダシ
邦家,ホウカ
アーラン,アーラン
キャッチャーボート,キャッチャーボート
トランペット,トランペット
貸し倒れ,カシダオレ
売店,バイテン
宴楽,エンラク
私設,シセツ
ＤＫ,ディーケイ
蔓生,マンセイ
日食,ニッショク
トーナル,トーナル
極地,キョクチ
バロメーター,バロメーター
敏捷,ビンショウ
当山,トウザン
賓格,ヒンカク
蚊除け,カヨケ
軍事,グンジ
典侍,テンジ
最年長,サイネンチョウ
菊判,キクバン
マスメディア,マスメディア
筆遣い,フデヅカイ
パレス,パレス
課程,カテイ
無二無三,ムニムサン
ノイローゼ,ノイローゼ
根元,ネモト
根元,コンゲン
鳶,トンビ
鳶,トビ
名案,メイアン
シミ,シミ
汽車,キシャ
ズク,ズク
えびす顔,エビスガオ
歯車,ハグルマ
釣天井,ツリテンジョウ
星章,セイショウ
語原,ゴゲン
憧景,ショウケイ
首相,シュショウ
グルテン,グルテン
編針,アミバリ
徒骨,ムダボネ
橋りょう,キョウリョウ
沸点,フッテン
海草類,カイソウルイ
詰合せ,ツメアワセ
ベンゼン,ベンゼン
警鐘,ケイショウ
しらふ,シラフ
手傷,テキズ
ゴールデンウィーク,ゴールデンウィーク
趣意,シュイ
気狂水,キチガイミズ
厭地,イヤチ
悪逆,アクギャク
ウチ,ウチ
迫持,セリモチ
神韻,シンイン
さおとめ,サオトメ
ちょびひげ,チョビヒゲ
大蔵,オオクラ
波止場,ハトバ
丑三つ,ウシミツ
アダリン,アダリン
島台,シマダイ
各人,カクジン
酒,サケ
シビリアンコントロール,シビリアンコントロール
ハダカムシ,ハダカムシ
術,スベ
術,ジュツ
頭注,トウチュウ
似我蜂,ジガバチ
セ氏,セシ
日読み,ヒヨミ
舌足らず,シタタラズ
覇気,ハキ
西瓜,スイカ
即効,ソッコウ
知らせ,シラセ
着痩せ,キヤセ
射場,シャジョウ
大刀,タチ
和食,ワショク
呼びだし,ヨビダシ
顕微,ケンビ
時短,ジタン
くさび,クサビ
方形,ホウケイ
トレーン,トレーン
存念,ゾンネン
毀棄,キキ
博多織,ハカタオリ
対辺,タイヘン
三昧,サンマイ
ショルダーバッグ,ショルダーバッグ
風営法,フウエイホウ
下膨れ,シモブクレ
病蓐,ビョウジョク
カラオケ,カラオケ
セロテープ,セロテープ
駅路,エキロ
軟らかめん,ヤワラカメン
胴切り,ドウギリ
とうさん,トウサン
アオミドロ,アオミドロ
カンデラ,カンデラ
襟足,エリアシ
老耄,オイボレ
老耄,ロウモウ
引き回し,ヒキマワシ
打者,ダシャ
組歌,クミウタ
外地,ガイチ
前芸,マエゲイ
デリバティブ,デリバティブ
中肉,チュウニク
フィアンセ,フィアンセ
麦笛,ムギブエ
センボンシメジ,センボンシメジ
色いろ,イロイロ
礼法,レイホウ
すい星,スイセイ
蚊蜻蛉,カトンボ
レンコン,レンコン
溶明,ヨウメイ
そで,ソデ
海中,カイチュウ
金太郎飴,キンタロウアメ
エステティックサロン,エステティックサロン
球筋,タマスジ
モメント,モメント
贈名,オクリナ
横隊,オウタイ
ツール,ツール
引鉄,ヒキガネ
アンソロジー,アンソロジー
係り,カカリ
箸,ハシ
ブローニー,ブローニー
記法,キホウ
残り火,ノコリビ
旧盆,キュウボン
酒杜氏,サカトウジ
黄精飴,オウセイアメ
なでしこ,ナデシコ
原材料,ゲンザイリョウ
金元,カネモト
飼い主,カイヌシ
にしん,ニシン
柴刈,シバカリ
並製,ナミセイ
アルゴリズム,アルゴリズム
表音,ヒョウオン
螢袋,ホタルブクロ
旬間,ジュンカン
上辷り,ウワスベリ
下種,ゲス
カリホルニウム,カリホルニウム
段々畑,ダンダンバタケ
遠見,トオミ
緩み,ユルミ
姉ちゃん,ネエチャン
不作,フサク
前立腺,ゼンリツセン
常談,ジョウダン
従前,ジュウゼン
水腹,ミズバラ
尾燈,ビトウ
元込め,モトゴメ
カルメ焼き,カルメヤキ
好感,コウカン
元締,モトジメ
写り,ウツリ
ムクドリ,ムクドリ
タラ,タラ
懐メロ,ナツメロ
画箋紙,ガセンシ
匪徒,ヒト
旨趣,シシュ
節節,フシブシ
老翁,ロウオウ
向う脛,ムコウズネ
